id,name,emoji,category,price,unit,description,stock,rating,tags
f1,Organic Apples,🍎,fruits,249.0,kg,Crisp & sweet organic Fuji apples,50,4.8,"[""fresh"",""organic"",""natural"",""healthy""]"
f2,Fresh Bananas,🍌,fruits,49.0,dozen,Perfectly ripe yellow bananas,80,4.6,"[""fresh"",""organic"",""natural"",""healthy""]"
f3,Juicy Oranges,🍊,fruits,149.0,kg,"Valencia oranges, bursting with flavor",45,4.7,"[""fresh"",""organic"",""natural"",""healthy""]"
f4,Sweet Strawberries,🍓,fruits,199.0,250g,Farm-fresh premium strawberries,30,4.9,"[""fresh"",""organic"",""natural"",""healthy""]"
f5,Ripe Mangoes,🥭,fruits,99.0,each,"Alphonso mangoes, tropical delight",40,4.8,"[""fresh"",""organic"",""natural"",""healthy""]"
f6,Green Grapes,🍇,fruits,179.0,kg,Seedless Thompson green grapes,35,4.5,"[""fresh"",""organic"",""natural"",""healthy""]"
v1,Fresh Broccoli,🥦,vegetables,89.0,head,Crisp green broccoli crowns,60,4.5,"[""fresh"",""organic"",""natural"",""healthy"",""green""]"
v2,Red Tomatoes,🍅,vegetables,49.0,kg,Vine-ripened Roma tomatoes,70,4.6,"[""fresh"",""organic"",""natural"",""healthy"",""green""]"
v3,Baby Carrots,🥕,vegetables,79.0,500g,Sweet & crunchy baby carrots,55,4.4,"[""fresh"",""organic"",""natural"",""healthy"",""green""]"
v4,Fresh Spinach,🥬,vegetables,39.0,bunch,Tender baby spinach leaves,40,4.7,"[""fresh"",""organic"",""natural"",""healthy"",""green""]"
v5,Bell Peppers,🫑,vegetables,149.0,kg,Mixed color bell peppers,45,4.3,"[""fresh"",""organic"",""natural"",""healthy"",""green""]"
v6,Sweet Corn,🌽,vegetables,29.0,each,Fresh sweet corn on the cob,50,4.6,"[""fresh"",""organic"",""natural"",""healthy"",""green""]"
d1,Whole Milk,🥛,dairy,69.0,liter,Farm-fresh pasteurized whole milk,100,4.7,"[""protein"",""calcium"",""fresh"",""refrigerated""]"
d2,Cheddar Cheese,🧀,dairy,249.0,200g,Aged sharp cheddar block,40,4.8,"[""protein"",""calcium"",""fresh"",""refrigerated""]"
d3,Greek Yogurt,🫙,dairy,179.0,500g,Thick & creamy Greek yogurt,60,4.6,"[""protein"",""calcium"",""fresh"",""refrigerated""]"
d4,Farm Eggs,🥚,dairy,99.0,dozen,Free-range organic eggs,50,4.9,"[""protein"",""calcium"",""fresh"",""refrigerated""]"
d5,Salted Butter,🧈,dairy,249.0,250g,Premium European-style butter,35,4.7,"[""protein"",""calcium"",""fresh"",""refrigerated""]"
b1,Sourdough Loaf,🍞,bakery,199.0,loaf,Artisan sourdough bread,25,4.8,"[""baked"",""carbs"",""breakfast"",""fresh""]"
b2,Butter Croissants,🥐,bakery,249.0,4-pack,Flaky French-style croissants,30,4.9,"[""baked"",""carbs"",""breakfast"",""fresh""]"
b3,Bagels,🥯,bakery,199.0,6-pack,New York style plain bagels,35,4.5,"[""baked"",""carbs"",""breakfast"",""fresh""]"
b4,Chocolate Cake,🍰,bakery,599.0,each,Rich dark chocolate layer cake,15,4.9,"[""baked"",""carbs"",""breakfast"",""fresh""]"
b5,Blueberry Muffins,🧁,bakery,299.0,4-pack,Fresh-baked blueberry muffins,20,4.7,"[""baked"",""carbs"",""breakfast"",""fresh""]"
bv1,Orange Juice,🧃,beverages,149.0,liter,"Freshly squeezed OJ, no pulp",40,4.6,"[""drinks"",""refreshing"",""hydration""]"
bv2,Green Tea,🍵,beverages,249.0,20-bags,Organic Japanese green tea,50,4.8,"[""drinks"",""refreshing"",""hydration""]"
bv3,Sparkling Water,💧,beverages,199.0,6-pack,Natural mineral sparkling water,70,4.4,"[""drinks"",""refreshing"",""hydration""]"
bv4,Cold Brew Coffee,☕,beverages,349.0,bottle,Premium cold brew concentrate,30,4.9,"[""drinks"",""refreshing"",""hydration""]"
s1,Mixed Nuts,🥜,snacks,399.0,300g,Roasted & salted premium mix,45,4.7,"[""crunchy"",""snacking"",""evening"",""party""]"
s2,Dark Chocolate,🍫,snacks,249.0,100g,72% cacao Belgian dark chocolate,50,4.8,"[""crunchy"",""snacking"",""evening"",""party""]"
s3,Potato Chips,🥔,snacks,99.0,150g,Sea salt & vinegar kettle chips,60,4.5,"[""crunchy"",""snacking"",""evening"",""party""]"
s4,Granola Bars,🥣,snacks,299.0,6-pack,Oat & honey crunchy bars,40,4.6,"[""crunchy"",""snacking"",""evening"",""party""]"
s5,Dried Mangoes,🥭,snacks,199.0,200g,Naturally sweet dried mango slices,35,4.7,"[""crunchy"",""snacking"",""evening"",""party""]"
